curveID,curveName,pillar,campaignproduct,mediagroup,2022_wk8,2022_wk9,2022_wk10,2022_wk11,2022_wk12,2022_wk13,2022_wk14,2022_wk15,2022_wk16,2022_wk17,2022_wk18,2022_wk19,2022_wk20,2022_wk21,2022_wk22,2022_wk23,2022_wk24,2022_wk25,2022_wk26,2022_wk27,2022_wk28,2022_wk29,2022_wk30,2022_wk31,2022_wk32,2022_wk33,2022_wk34,2022_wk35,2022_wk36,2022_wk37,2022_wk38,2022_wk39,2022_wk40,2022_wk41,2022_wk42,2022_wk43,2022_wk44,2022_wk45,2022_wk46,2022_wk47,2022_wk48,2022_wk49,2022_wk50,2022_wk51,2022_wk52,2023_wk1,2023_wk2,2023_wk3,2023_wk4,2023_wk5,2023_wk6,2023_wk7,2023_wk8,2023_wk9,2023_wk10,2023_wk11,2023_wk12,2023_wk13,2023_wk14,2023_wk15,2023_wk16,2023_wk17,2023_wk18,2023_wk19,2023_wk20,2023_wk21,2023_wk22,2023_wk23,2023_wk24,2023_wk25,2023_wk26,2023_wk27,2023_wk28,2023_wk29,2023_wk30,2023_wk31,2023_wk32,2023_wk33,2023_wk34,2023_wk35,2023_wk36,2023_wk37,2023_wk38,2023_wk39,2023_wk40,2023_wk41,2023_wk42,2023_wk43,2023_wk44,2023_wk45,2023_wk46,2023_wk47,2023_wk48,2023_wk49,2023_wk50,2023_wk51,2023_wk52,2024_wk1,2024_wk2,2024_wk3,2024_wk4,2024_wk5,2024_wk6,2024_wk7,2024_wk8,2024_wk9,2024_wk10,2024_wk11,2024_wk12,2024_wk13,2024_wk14,2024_wk15,2024_wk16,2024_wk17,2024_wk18,2024_wk19,2024_wk20,2024_wk21,2024_wk22,2024_wk23,2024_wk24,2024_wk25,2024_wk26,2024_wk27,2024_wk28,2024_wk29,2024_wk30,2024_wk31,2024_wk32,2024_wk33,2024_wk34,2024_wk35,2024_wk36,2024_wk37,2024_wk38,2024_wk39,2024_wk40,2024_wk41,2024_wk42,2024_wk43,2024_wk44,2024_wk45,2024_wk46,2024_wk47,2024_wk48,2024_wk49,2024_wk50,2024_wk51,2024_wk52,2025_wk1,2025_wk2,2025_wk3,2025_wk4,2025_wk5,2025_wk6,2025_wk7,2025_wk8,2025_wk9,2025_wk10,2025_wk11,2025_wk12,2025_wk13,2025_wk14,2025_wk15,2025_wk16,2025_wk17,2025_wk18,2025_wk19,2025_wk20,2025_wk21,2025_wk22,2025_wk23,2025_wk24,2025_wk25,2025_wk26,2025_wk27,2025_wk28,2025_wk29,2025_wk30,2025_wk31,2025_wk32,2025_wk33,2025_wk34,2025_wk35,2025_wk36,2025_wk37,2025_wk38,2025_wk39,2025_wk40,2025_wk41,2025_wk42,2025_wk43,2025_wk44,2025_wk45,2025_wk46,2025_wk47,2025_wk48,2025_wk49,2025_wk50,2025_wk51,2025_wk52,2026_wk1,2026_wk2,2026_wk3,2026_wk4,2026_wk5,2026_wk6,2026_wk7,2026_wk8,2026_wk9,2026_wk10,2026_wk11,2026_wk12,2026_wk13,2026_wk14,2026_wk15,2026_wk16,2026_wk17,2026_wk18,2026_wk19,2026_wk20,2026_wk21,2026_wk22,2026_wk23,2026_wk24,2026_wk25,2026_wk26,2026_wk27,2026_wk28,2026_wk29,2026_wk30,2026_wk31,2026_wk32,2026_wk33,2026_wk34
1,seasonalchristmasTelevision,seasonal,christmas,Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1335784,1189899,1185042,974520,767160,839715,895201,194137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1799321,1697979,990863,967766,985321,228417,47249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931480,1808813,1764726,905370,764283,964731,209694,75622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931480,1808813,1764726,905370,764283,964731,209694,75622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,qualityfoodfoodthreezeroTelevision,qualityfood,foodthreezero,Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423513,702995,509574,49732,0,398517,434771,386311,54127,0,0,0,0,0,425696,579433,534295,0,0,348533,353560,317854,31549,0,0,401684,374753,373219,43713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423513,702995,509574,49732,0,398517,434771,386311,54127,0,0,0,0,0,425696,579433,534295,0,0,348533,353560,317854,31549,0,0,401684,374753,373219,43713,0
3,fairpricesccptPrint,fairprices,ccpt,Print,0,0,0,0,0,0,0,0,0,91035,91035,91035,91035,91035,91035,91035,91035,91035,91035,91035,91035,91035,91035,91035,91035,91035,91035,91035,91035,91035,91035,91035,91035,91035,91035,0,0,0,0,0,0,0,0,0,91035,91035,91035,91035,0,0,0,0,0,0,0,0,0,182070,85934,85934,85934,171868,171868,171868,171868,171868,171868,171868,171868,171868,171868,171868,171868,171868,171868,171868,171868,171868,171868,85934,85934,171868,85934,85934,171867,171867,85934,0,0,0,0,0,0,0,0,0,208927,262495,239173,221893,218163,182024,162527,149864,97773,72750,72750,72750,101703,0,0,0,0,145500,127258,145500,145500,145500,145500,241550,204319,216865,145500,205060,485840,145500,145500,72750,72750,145500,72750,72750,72750,72750,145500,145500,145500,145500,145500,0,0,0,0,0,0,0,0,0,72750,145500,145500,145500,72750,145500,145500,72750,63461,63461,63461,63461,63461,24785,63461,63461,88246,63461,63461,63461,63461,63461,63461,63461,88246,247820,164319,156701,156701,210888,154702,185081,126921,95239,0,72750,72750,72750,145500,145500,145500,145500,145500,0,0,0,0,0,0,0,0,0,72750,145500,145500,145500,72750,145500,145500,72750,63461,63461,63461,63461,63461,24785,63461,63461,88246,63461,63461,63461,63461,63461,63461,63461,88246,247820,164319,156701,156701,210888,154702,185081,126921,95239,0
4,fairpricesccptDigital display,fairprices,ccpt,Digital display,22744,20275,18124,20743,22041,0,0,0,0,25915,21386,33849,29268,42847,47254,65141,46334,56203,56212,52807,30045,49719,52985,51971,51320,51795,45539,32933,44844,42616,51319,47685,46635,43634,88937,3,0,0,0,0,0,0,0,0,29746,28797,25520,25528,26962,27304,29981,30871,0,0,0,0,0,114985,58468,60847,62449,120874,81228,93504,90628,147786,137282,97303,114507,146019,117123,128526,117467,107864,89247,102627,91000,86456,90181,52233,62648,97600,56614,106882,95131,73344,63694,25306,0,0,0,0,0,0,0,0,15255,9745,21826,21600,18720,18565,19535,50290,105311,105311,30260,38326,46446,0,0,0,0,28785,1984,29727,34341,13608,14036,12438,13225,13593,14675,12787,8925,12305,11120,1599,1847,11927,1261,1241,1384,1394,6779,15288,20359,19732,22508,1566,1756,959,2031,1645,1264,1323,1165,1053,34080,77328,900,0,0,0,0,0,80587,110717,107467,92349,89152,119273,161653,163346,106287,105470,94632,96415,100569,121613,142596,170460,146119,236878,207269,195058,208624,228471,256393,277282,209263,164510,18646,1241,1384,1394,6779,15288,20359,19732,22508,1566,1756,959,2031,1645,1264,1323,1165,1053,34080,77328,900,0,0,0,0,0,80587,110717,107467,92349,89152,119273,161653,163346,106287,105470,94632,96415,100569,121613,142596,170460,146119,236878,207269,195058,208624,228471,256393,277282,209263,164510,18646
5,fairpricesccthreezeroTelevision,fairprices,ccthreezero,Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51686,492202,466389,327386,25972,0,0,0,0,0,0,0,0,0,0,450549,400721,671966,33208,0,0,356806,377155,383584,29306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51686,492202,466389,327386,25972,0,0,0,0,0,0,0,0,0,0,450549,400721,671966,33208,0,0,356806,377155,383584,29306,0,0,0,0
6,fairpricesccpTelevision,fairprices,ccp,Television,0,402725,523214,433205,83161,0,0,0,0,0,0,0,0,0,0,0,0,365263,652068,136514,0,0,0,0,0,0,0,135308,428099,680933,77816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178905,598581,436302,62433,0,0,0,477571,503995,381665,31474,0,0,0,0,0,0,0,0,366060,293958,256940,34093,0,0,0,0,171487,443790,300985,195626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479431,646604,492871,49404,0,0,0,0,0,0,0,0,141607,473037,412011,289885,31511,0,0,0,0,415579,735193,574716,75110,0,0,401833,573949,482140,0,0,0,0,0,0,0,284330,689334,47312,0,0,0,0,0,0,0,0,106825,668504,451740,44660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284330,689334,47312,0,0,0,0,0,0,0,0,106825,668504,451740,44660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,fairpricesttvTelevision,fairprices,ttv,Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525955,419389,430281,0,0,0,0,0,344804,330013,283201,281801,0,0,0,0,0,0,27697,408333,298610,142242,8656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135358,311617,202355,72447,0,0,0,0,0,439575,271123,374162,36177,0,0,0,0,0,0,0,0,0,387384,381659,301418,59410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408608,359660,342004,37140,0,0,0,396957,416004,284056,39149,0,0,0,0,0,0,0,0,387384,381659,301418,59410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408608,359660,342004,37140,0,0,0,396957,416004,284056,39149,0,0,0,0,0,0,0
8,seasonalchristmasPrint,seasonal,christmas,Print,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91035,218484,365279,313922,282109,307013,355623,268156,183150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85934,171868,171868,315927,394350,458238,371276,426228,146263,34062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145500,145500,960346,316279,279598,325589,302076,237805,264911,39898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145500,145500,960346,316279,279598,325589,302076,237805,264911,39898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,qualityfoodfinestTelevision,qualityfood,finest,Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378639,447609,358677,45842,0,0,330517,419210,290590,36604,367014,516045,526610,85335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330517,419210,290590,36604,367014,516045,526610,85335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,seasonalchristmasVideo,seasonal,christmas,Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210138,485329,138747,113495,188749,133075,159899,2969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512388,462434,312335,319224,311522,56842,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382877,538401,397829,436849,494333,316364,66712,9706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382877,538401,397829,436849,494333,316364,66712,9706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,qualityfoodfoodthreezeroOut of home,qualityfood,foodthreezero,Out of home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14853,25786,148304,172502,24996,0,0,0,0,0,0,0,0,0,0,0,194835,247483,116944,12176,0,109254,184654,109171,11927,0,0,0,0,0,88123,143993,82205,0,0,124707,171368,113203,15440,0,0,102622,142367,74731,9212,0,0,0,0,0,0,0,14853,25786,148304,172502,24996,0,0,0,0,0,0,0,0,0,0,0,194835,247483,116944,12176,0,109254,184654,109171,11927,0,0,0,0,0,88123,143993,82205,0,0,124707,171368,113203,15440,0,0,102622,142367,74731,9212,0
12,fairpricesccthreezeroTV sponsorship,fairprices,ccthreezero,TV sponsorship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697678,239248,138092,13951,116591,136357,123775,122480,123628,124801,110923,112951,3396,206698,119988,3616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697678,239248,138092,13951,116591,136357,123775,122480,123628,124801,110923,112951,3396,206698,119988,3616,0,0,0,0,0,0,0,0,0,0,0,0
13,fairpricesccthreezeroVideo,fairprices,ccthreezero,Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185616,249005,233579,5967,125707,109009,109096,110480,93350,74057,79421,81411,0,136867,173669,121271,104582,3178,0,0,112452,158582,95966,5638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185616,249005,233579,5967,125707,109009,109096,110480,93350,74057,79421,81411,0,136867,173669,121271,104582,3178,0,0,112452,158582,95966,5638,0,0,0,0
14,qualityfoodfoodthreezeroVideo,qualityfood,foodthreezero,Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204801,189025,181807,9159,0,146833,186910,96051,4749,0,0,0,0,0,177458,228571,120677,0,0,116150,113769,166732,40601,16359,18224,96199,114883,105085,9416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204801,189025,181807,9159,0,146833,186910,96051,4749,0,0,0,0,0,177458,228571,120677,0,0,116150,113769,166732,40601,16359,18224,96199,114883,105085,9416,0
15,seasonalchristmasDigital display,seasonal,christmas,Digital display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59695,323590,164279,227916,273474,283660,266124,219187,160886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44163,124825,100908,285145,291425,321348,337558,371267,209607,43578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32007,26338,413109,218929,250666,279720,354768,364626,291825,84978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32007,26338,413109,218929,250666,279720,354768,364626,291825,84978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
